cohort,source_team,model_code,fold,alpha,train_rows,validation_rows,validation_start,validation_end,residual_window_observations,tuning_pipeline,MAE,RMSE
Primary complete-case cohort,TeamA,P1,2,0.1,2742,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.8146516090236838,1.126369591820187
Primary complete-case cohort,TeamA,P1,2,1.0,2742,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.8145790638967829,1.1262959720389922
Primary complete-case cohort,TeamA,P1,2,10.0,2742,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.8138649523093251,1.12556824260701
Primary complete-case cohort,TeamA,P1,2,100.0,2742,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.8077146520113114,1.1190520193127924
Primary complete-case cohort,TeamA,P1,2,1000.0,2742,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.782676269095405,1.089193123367881
Primary complete-case cohort,TeamA,P1,2,10000.0,2742,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.7700535353527809,1.0641008561659384
Primary complete-case cohort,TeamA,P1,2,100000.0,2742,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.7751650566707268,1.071621494201162
Primary complete-case cohort,TeamA,P1,3,0.0,3367,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.755913112265471,1.0366904490417785
Primary complete-case cohort,TeamA,P1,3,0.0001,3367,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7559131068400393,1.036690444550253
Primary complete-case cohort,TeamA,P1,3,0.001,3367,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7559130580111875,1.0366904041265814
Primary complete-case cohort,TeamA,P1,3,0.01,3367,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7559125697258101,1.0366899998955241
Primary complete-case cohort,TeamA,P1,3,0.1,3367,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7559076871860844,1.0366859581506478
