cohort,source_team,model_code,fold,alpha,train_rows,validation_rows,validation_start,validation_end,residual_window_observations,tuning_pipeline,MAE,RMSE
Missingness-aware cohort,TeamB,P0,1,0.0,1347,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6283992949757738,1.0890177368471459
Missingness-aware cohort,TeamB,P0,1,0.0001,1347,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6283992861395424,1.0890177177633416
Missingness-aware cohort,TeamB,P0,1,0.001,1347,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6283992066135189,1.0890175460093072
Missingness-aware cohort,TeamB,P0,1,0.01,1347,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6283984113591273,1.0890158284891873
Missingness-aware cohort,TeamB,P0,1,0.1,1347,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6283904593996551,1.0889986553103181
Missingness-aware cohort,TeamB,P0,1,1.0,1347,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6283109982058208,1.0888271255615243
Missingness-aware cohort,TeamB,P0,1,10.0,1347,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6275805980008484,1.0871318408060686
Missingness-aware cohort,TeamB,P0,1,100.0,1347,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6212994794601281,1.0720041337403705
Missingness-aware cohort,TeamB,P0,1,1000.0,1347,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.5997508746745236,1.010254255191376
Missingness-aware cohort,TeamB,P0,1,10000.0,1347,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6152954820279745,1.0028635965121866
Missingness-aware cohort,TeamB,P0,1,100000.0,1347,436,2020-07-17,2020-09-06,28,population prediction plus reset sequential residual adaptation,0.6253008311086234,1.012977120323627
Missingness-aware cohort,TeamB,P0,2,0.0,1783,369,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.5551813120104748,1.0242413259873173
Missingness-aware cohort,TeamB,P0,2,0.0001,1783,369,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.5551813096309688,1.0242413149997782
Missingness-aware cohort,TeamB,P0,2,0.001,1783,369,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.5551812882154263,1.0242412161120436
Missingness-aware cohort,TeamB,P0,2,0.01,1783,369,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.555181074061191,1.024240227246191
Missingness-aware cohort,TeamB,P0,2,0.1,1783,369,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.5551789326377387,1.024230339737173
Missingness-aware cohort,TeamB,P0,2,1.0,1783,369,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.5551575302866745,1.0241315795060721
Missingness-aware cohort,TeamB,P0,2,10.0,1783,369,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.5549446885009391,1.023155372161233
Missingness-aware cohort,TeamB,P0,2,100.0,1783,369,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.5529281736536098,1.0144476342782125
Missingness-aware cohort,TeamB,P0,2,1000.0,1783,369,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.5488179620235434,0.9831054289058835
Missingness-aware cohort,TeamB,P0,2,10000.0,1783,369,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.5803071032235698,1.025803104204184
Missingness-aware cohort,TeamB,P0,2,100000.0,1783,369,2020-09-07,2020-10-28,28,population prediction plus reset sequential residual adaptation,0.5974417700209561,1.0561834623988582
